LAB_ar,LAB_tr,LAB1,LAB2,LAB3,LAB4,LAB5,C1,C2,C3,C4,C5,P1,P2,P3,P4,P5,M1,M2,M3,M4,M5
زلنبع,ZLNBʿ,Z,L,N,B,ʿ,11,23,25,2,18,4,4,4,1,8,3,6,5,1,3
زلنقح,ZLNQḤ,Z,L,N,Q,Ḥ,11,23,25,21,6,4,4,4,7,8,3,6,5,1,3
زمعلق,ZMʿLQ,Z,M,ʿ,L,Q,11,24,18,23,21,4,1,8,4,7,3,5,3,6,1
زنفلج,ZNFLǦ,Z,N,F,L,Ǧ,11,25,20,23,5,4,4,2,4,5,3,5,3,6,1
سرندب,SRNDB,S,R,N,D,B,12,10,25,8,2,4,4,4,4,1,3,8,5,1,1
سعسلق,SʿSLQ,S,ʿ,S,L,Q,12,18,12,23,21,4,8,4,4,7,3,3,3,6,1
سفرجل,SFRǦL,S,F,R,Ǧ,L,12,20,10,5,23,4,2,4,5,4,3,3,8,1,6
سقرقع,SQRQʿ,S,Q,R,Q,ʿ,12,21,10,21,18,4,7,4,7,8,3,1,8,1,3
سقعطر,SQʿṬR,S,Q,ʿ,Ṭ,R,12,21,18,16,10,4,7,8,4,4,3,1,3,2,8
سقلطن,SQLṬN,S,Q,L,Ṭ,N,12,21,23,16,25,4,7,4,4,4,3,1,6,2,5
سكندر,SKNDR,S,K,N,D,R,12,22,25,8,10,4,6,4,4,4,3,1,5,1,8
سلنطع,SLNṬʿ,S,L,N,Ṭ,ʿ,12,23,25,16,18,4,4,4,4,8,3,6,5,2,3
